,PassengerId,Age,Sex,Survived
0,1,22.0,m,0
1,2,38.0,f,1
2,3,26.0,f,1
3,4,35.0,f,1
4,5,35.0,m,0
5,6,,m,0
6,7,54.0,m,0
7,8,2.0,m,0
8,9,27.0,f,1
9,10,14.0,f,1
10,11,4.0,f,1
11,12,58.0,f,1
12,13,20.0,m,0
13,14,39.0,m,0
14,15,14.0,f,0
15,16,55.0,f,1
16,17,2.0,m,0
17,18,,m,1
18,19,31.0,f,0
19,20,,f,1
20,21,35.0,m,0
21,22,34.0,m,1
22,23,15.0,f,1
23,24,28.0,m,1
24,25,8.0,f,0
25,26,38.0,f,1
26,27,,m,0
27,28,19.0,m,0
28,29,,f,1
29,30,,m,0
30,31,40.0,m,0
31,32,,f,1
32,33,,f,1
33,34,66.0,m,0
34,35,28.0,m,0
35,36,42.0,m,0
36,37,,m,1
37,38,21.0,m,0
38,39,18.0,f,0
39,40,14.0,f,1
40,41,40.0,f,0
41,42,27.0,f,0
42,43,,m,0
43,44,3.0,f,1
44,45,19.0,f,1
45,46,,m,0
46,47,,m,0
47,48,,f,1
48,49,,m,0
49,50,18.0,f,0
50,51,7.0,m,0
51,52,21.0,m,0
52,53,49.0,f,1
53,54,29.0,f,1
54,55,65.0,m,0
55,56,,m,1
56,57,21.0,f,1
57,58,28.5,m,0
58,59,5.0,f,1
59,60,11.0,m,0
60,61,22.0,m,0
61,62,38.0,f,1
62,63,45.0,m,0
63,64,4.0,m,0
64,65,,m,0
65,66,,m,1
66,67,29.0,f,1
67,68,19.0,m,0
68,69,17.0,f,1
69,70,26.0,m,0
70,71,32.0,m,0
71,72,16.0,f,0
72,73,21.0,m,0
73,74,26.0,m,0
74,75,32.0,m,1
75,76,25.0,m,0
76,77,,m,0
77,78,,m,0
78,79,0.83,m,1
79,80,30.0,f,1
80,81,22.0,m,0
81,82,29.0,m,1
82,83,,f,1
83,84,28.0,m,0
84,85,17.0,f,1
85,86,33.0,f,1
86,87,16.0,m,0
87,88,,m,0
88,89,23.0,f,1
89,90,24.0,m,0
90,91,29.0,m,0
91,92,20.0,m,0
92,93,46.0,m,0
93,94,26.0,m,0
94,95,59.0,m,0
95,96,,m,0
96,97,71.0,m,0
97,98,23.0,m,1
98,99,34.0,f,1
99,100,34.0,m,0
100,101,28.0,f,0
101,102,,m,0
102,103,21.0,m,0
103,104,33.0,m,0
104,105,37.0,m,0
105,106,28.0,m,0
106,107,21.0,f,1
107,108,,m,1
108,109,38.0,m,0
109,110,,f,1
110,111,47.0,m,0
111,112,14.5,f,0
112,113,22.0,m,0
113,114,20.0,f,0
114,115,17.0,f,0
115,116,21.0,m,0
116,117,70.5,m,0
117,118,29.0,m,0
118,119,24.0,m,0
119,120,2.0,f,0
120,121,21.0,m,0
121,122,,m,0
122,123,32.5,m,0
123,124,32.5,f,1
124,125,54.0,m,0
125,126,12.0,m,1
126,127,,m,0
127,128,24.0,m,1
128,129,,f,1
129,130,45.0,m,0
130,131,33.0,m,0
131,132,20.0,m,0
132,133,47.0,f,0
133,134,29.0,f,1
134,135,25.0,m,0
135,136,23.0,m,0
136,137,19.0,f,1
137,138,37.0,m,0
138,139,16.0,m,0
139,140,24.0,m,0
140,141,,f,0
141,142,22.0,f,1
142,143,24.0,f,1
143,144,19.0,m,0
144,145,18.0,m,0
145,146,19.0,m,0
146,147,27.0,m,1
147,148,9.0,f,0
148,149,36.5,m,0
149,150,42.0,m,0
150,151,51.0,m,0
151,152,22.0,f,1
152,153,55.5,m,0
153,154,40.5,m,0
154,155,,m,0
155,156,51.0,m,0
156,157,16.0,f,1
157,158,30.0,m,0
158,159,,m,0
159,160,,m,0
160,161,44.0,m,0
161,162,40.0,f,1
162,163,26.0,m,0
163,164,17.0,m,0
164,165,1.0,m,0
165,166,9.0,m,1
166,167,,f,1
167,168,45.0,f,0
168,169,,m,0
169,170,28.0,m,0
170,171,61.0,m,0
171,172,4.0,m,0
172,173,1.0,f,1
173,174,21.0,m,0
174,175,56.0,m,0
175,176,18.0,m,0
176,177,,m,0
177,178,50.0,f,0
178,179,30.0,m,0
179,180,36.0,m,0
180,181,,f,0
181,182,,m,0
182,183,9.0,m,0
183,184,1.0,m,1
184,185,4.0,f,1
185,186,,m,0
186,187,,f,1
187,188,45.0,m,1
188,189,40.0,m,0
189,190,36.0,m,0
190,191,32.0,f,1
191,192,19.0,m,0
192,193,19.0,f,1
193,194,3.0,m,1
194,195,44.0,f,1
195,196,58.0,f,1
196,197,,m,0
197,198,42.0,m,0
198,199,,f,1
199,200,24.0,f,0
200,201,28.0,m,0
201,202,,m,0
202,203,34.0,m,0
203,204,45.5,m,0
204,205,18.0,m,1
205,206,2.0,f,0
206,207,32.0,m,0
207,208,26.0,m,1
208,209,16.0,f,1
209,210,40.0,m,1
210,211,24.0,m,0
211,212,35.0,f,1
212,213,22.0,m,0
213,214,30.0,m,0
214,215,,m,0
215,216,31.0,f,1
216,217,27.0,f,1
217,218,42.0,m,0
218,219,32.0,f,1
219,220,30.0,m,0
220,221,16.0,m,1
221,222,27.0,m,0
222,223,51.0,m,0
223,224,,m,0
224,225,38.0,m,1
225,226,22.0,m,0
226,227,19.0,m,1
227,228,20.5,m,0
228,229,18.0,m,0
229,230,,f,0
230,231,35.0,f,1
231,232,29.0,m,0
232,233,59.0,m,0
233,234,5.0,f,1
234,235,24.0,m,0
235,236,,f,0
236,237,44.0,m,0
237,238,8.0,f,1
238,239,19.0,m,0
239,240,33.0,m,0
240,241,,f,0
